Sample_ID_Cpx,Mineral,SiO2,TiO2,Al2O3,Cr2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,Total
MA tephra 5-152 ,Clinopyroxene,51.095,0.759,1.977,0.028,10.381,0.327,15.418,19.091,0.416,,
MA tephra 5-226 ,Clinopyroxene,51.264,0.605,1.875,0,11.087,0.342,14.88,19.106,0.431,,
MA tephra 5-73 ,Clinopyroxene,51.164,0.911,1.954,0.119,9.739,0.283,15.651,19.115,0.366,,
MA tephra 5-156 ,Clinopyroxene,51.194,0.766,2.08,0.067,10.198,0.308,15.44,19.166,0.421,,
MA tephra 5-215 ,Clinopyroxene,50.972,0.642,1.38,0,13.361,0.403,13.473,19.189,0.372,,
MA tephra 5-157 ,Clinopyroxene,51.462,0.564,1.491,0.014,11.437,0.341,14.228,19.192,0.439,,
MA tephra 5-58 ,Clinopyroxene,51.218,0.705,1.684,0,11.18,0.3,14.801,19.209,0.36,,
MA tephra 5-119 ,Clinopyroxene,51.131,0.738,2.164,0.108,9.808,0.305,15.906,19.243,0.387,,
MA tephra 5-52 ,Clinopyroxene,50.902,0.941,2.493,0.072,11.11,0.316,14.483,19.265,0.427,,
MA tephra 5-75 ,Clinopyroxene,51.447,0.529,1.283,0,11.953,0.407,13.647,19.265,0.411,,
MA tephra 5-53 ,Clinopyroxene,51.012,0.545,1.565,0,11.307,0.367,14.351,19.318,0.394,,
MA tephra 5-93 ,Clinopyroxene,51.526,0.664,2.207,0.125,9.417,0.253,15.389,19.331,0.399,,
MA tephra 5-69 ,Clinopyroxene,51.262,0.747,1.926,0.093,10.237,0.309,15.247,19.343,0.437,,
MA tephra 5-27 ,Clinopyroxene,51.29,0.557,1.217,0.014,11.876,0.363,14.411,19.37,0.314,,
MA tephra 5-85 ,Clinopyroxene,51.257,0.736,1.445,0,10.776,0.329,14.424,19.38,0.355,,
MA tephra 5-165 ,Clinopyroxene,51.309,0.8,1.933,0.013,9.973,0.252,15.479,19.389,0.399,,
MA tephra 5-23 ,Clinopyroxene,51.075,0.831,2.221,0.028,10.884,0.289,15.054,19.394,0.439,,
MA tephra 5-143 ,Clinopyroxene,51.425,0.692,1.96,0.037,9.397,0.243,15.712,19.398,0.374,,
MA tephra 5-179 ,Clinopyroxene,51.557,0.775,1.775,0,9.938,0.313,15.671,19.415,0.342,,
MA tephra 5-41 ,Clinopyroxene,50.834,0.718,2.189,0.06,9.976,0.272,15.037,19.445,0.421,,
MA tephra 5-184 ,Clinopyroxene,51.711,0.602,1.385,0.04,11.33,0.345,14.516,19.464,0.366,,
MA tephra 5-139 ,Clinopyroxene,50.898,0.765,2.2,0.063,10.026,0.287,15.353,19.481,0.394,,
MA tephra 5-164 ,Clinopyroxene,50.01,1.01,2.901,0.202,10.323,0.262,14.948,19.482,0.425,,
MA tephra 5-188 ,Clinopyroxene,51.377,0.846,2.157,0,9.235,0.292,15.89,19.484,0.337,,
MA tephra 5-97 ,Clinopyroxene,51.085,0.877,2.335,0.022,9.446,0.285,15.642,19.496,0.333,,
MA tephra 5-56 ,Clinopyroxene,51.257,0.895,2.131,0,10.257,0.293,15.283,19.549,0.463,,
MA tephra 5-174 ,Clinopyroxene,51.7,0.73,1.768,0.03,9.415,0.299,16.016,19.554,0.357,,
MA tephra 5-63 ,Clinopyroxene,51.126,0.793,1.924,0.025,9.438,0.273,15.668,19.564,0.367,,
MA tephra 5-181 ,Clinopyroxene,51.45,0.53,1.492,0.01,11.824,0.367,14.575,19.568,0.392,,
MA tephra 5-135 ,Clinopyroxene,51.144,0.744,2.143,0.038,9.924,0.315,15.465,19.569,0.381,,
MA tephra 5-4 ,Clinopyroxene,51.198,0.87,2.228,0.018,8.815,0.281,15.253,19.576,0.374,,
MA tephra 5-112 ,Clinopyroxene,51.602,0.795,1.863,0,9.683,0.264,15.662,19.581,0.372,,
MA tephra 5-80 ,Clinopyroxene,51.61,0.669,1.778,0.015,10.185,0.335,15.381,19.607,0.415,,
MA tephra 5-148 ,Clinopyroxene,51.413,0.82,1.896,0.007,9.282,0.284,16.149,19.609,0.339,,
MA tephra 5-168 ,Clinopyroxene,50.714,0.836,2.389,0.093,9.636,0.238,15.499,19.615,0.398,,
MA tephra 5-150 ,Clinopyroxene,51.15,0.662,1.912,0.025,9.007,0.29,15.231,19.621,0.397,,
MA tephra 5-145 ,Clinopyroxene,51.131,0.778,2.047,0.024,10.054,0.267,15.237,19.624,0.38,,
MA tephra 5-44 ,Clinopyroxene,50.371,0.829,2.505,0.16,9.715,0.298,15.196,19.625,0.345,,
MA tephra 5-99 ,Clinopyroxene,51.402,0.78,1.76,0.007,10.808,0.284,14.493,19.657,0.369,,
MA tephra 5-198 ,Clinopyroxene,51.451,0.835,2.064,0,10.178,0.348,15.385,19.666,0.37,,
MA tephra 5-32 ,Clinopyroxene,48.907,0.743,4.809,0.7,8.912,0.258,14.517,19.681,0.445,,
MA tephra 5-66 ,Clinopyroxene,50.939,0.936,2.245,0.074,8.496,0.25,15.654,19.683,0.316,,
MA tephra 5-40 ,Clinopyroxene,50.203,0.856,2.787,0.082,10.178,0.26,14.88,19.739,0.429,,
MA tephra 5-207 ,Clinopyroxene,51.084,0.859,2.185,0.028,9.067,0.255,15.365,19.739,0.404,,
MA tephra 5-131 ,Clinopyroxene,50.368,0.827,2.648,0.121,10.612,0.274,14.588,19.749,0.393,,
MA tephra 5-204 ,Clinopyroxene,51.027,0.74,2.062,0.046,10.198,0.269,15.306,19.758,0.371,,
MA tephra 5-67 ,Clinopyroxene,51.001,0.792,2.148,0.02,9.379,0.218,15.542,19.769,0.354,,
MA tephra 5-76 ,Clinopyroxene,51.141,0.731,1.922,0.052,11.946,0.321,14.111,19.771,0.436,,
MA tephra 5-94 ,Clinopyroxene,51.385,0.759,2.013,0.007,9.433,0.305,15.198,19.783,0.38,,
MA tephra 5-90 ,Clinopyroxene,50.759,0.879,2.336,0.196,9.476,0.27,15.542,19.788,0.389,,
MA tephra 5-144 ,Clinopyroxene,51.26,0.639,2.087,0.013,9.285,0.239,15.597,19.79,0.393,,
MA tephra 5-17 ,Clinopyroxene,51.067,0.887,2.145,0.066,10.2,0.278,15.421,19.793,0.416,,
MA tephra 5-54 ,Clinopyroxene,51.324,0.766,1.875,0.016,9.947,0.295,15.52,19.812,0.37,,
MA tephra 5-26 ,Clinopyroxene,50.956,0.712,1.852,0.012,9.449,0.263,15.798,19.832,0.338,,
MA tephra 5-10 ,Clinopyroxene,50.962,0.859,2.241,0.015,9.673,0.341,15.288,19.834,0.364,,
MA tephra 5-42 ,Clinopyroxene,51.077,0.892,1.899,0.011,9.13,0.297,15.661,19.845,0.346,,
MA tephra 5-111 ,Clinopyroxene,51.326,0.762,2.022,0.016,9.738,0.295,15.389,19.854,0.368,,
MA tephra 5-140 ,Clinopyroxene,50.866,0.646,2.156,0.047,9.795,0.253,15.223,19.855,0.336,,
MA tephra 5-186 ,Clinopyroxene,51.234,0.767,2.026,0.009,10.105,0.296,14.691,19.86,0.402,,
MA tephra 5-211 ,Clinopyroxene,50.929,0.739,1.932,0.02,9.65,0.265,15.599,19.871,0.358,,
MA tephra 5-225 ,Clinopyroxene,50.894,0.796,2.152,0.024,9.601,0.245,15.047,19.875,0.353,,
MA tephra 5-95 ,Clinopyroxene,51.271,0.476,1.386,0,12.115,0.444,13.619,19.884,0.37,,
MA tephra 5-77 ,Clinopyroxene,51.412,0.687,1.775,0.005,9.43,0.257,15.873,19.897,0.334,,
MA tephra 5-200 ,Clinopyroxene,51.505,0.75,1.857,0.012,10.155,0.293,14.793,19.899,0.379,,
MA tephra 5-189 ,Clinopyroxene,49.49,1.193,3.914,0.006,10.838,0.244,13.923,19.901,0.465,,
MA tephra 5-175 ,Clinopyroxene,50.953,0.913,2.03,0.018,9.847,0.281,15.144,19.902,0.345,,
MA tephra 5-133 ,Clinopyroxene,51.222,0.831,1.887,0.038,9.701,0.268,15.482,19.925,0.354,,
MA tephra 5-190 ,Clinopyroxene,50.449,0.802,2.676,0,10.032,0.301,14.554,19.933,0.424,,
MA tephra 5-124 ,Clinopyroxene,51.612,0.787,1.957,0.011,10.113,0.322,15.396,19.939,0.419,,
MA tephra 5-35 ,Clinopyroxene,50.641,0.751,2.339,0.036,9.029,0.271,15.439,19.95,0.33,,
MA tephra 5-81 ,Clinopyroxene,51.092,0.861,1.893,0.017,10.367,0.345,15.029,19.959,0.358,,
MA tephra 5-176 ,Clinopyroxene,51.409,0.885,1.999,0.053,9.853,0.235,15.303,19.979,0.369,,
MA tephra 5-129 ,Clinopyroxene,50.572,0.842,3.161,0.541,8.148,0.201,15.426,19.982,0.365,,
MA tephra 5-5 ,Clinopyroxene,49.656,0.954,3.814,0.24,10.802,0.283,13.518,19.988,0.428,,
MA tephra 5-104 ,Clinopyroxene,51.108,0.856,2.829,0.115,8.838,0.236,15.62,19.988,0.428,,
MA tephra 5-60 ,Clinopyroxene,51.432,0.767,2.119,0.04,9.817,0.291,15.565,19.993,0.385,,
MA tephra 5-78 ,Clinopyroxene,51.653,0.762,1.926,0.007,8.978,0.229,15.731,19.997,0.338,,
MA tephra 5-163 ,Clinopyroxene,51.43,0.811,2.01,0.016,9.472,0.253,15.469,20.01,0.372,,
MA tephra 5-71 ,Clinopyroxene,50.948,0.791,2.062,0.021,9.351,0.256,15.473,20.012,0.373,,
MA tephra 5-18 ,Clinopyroxene,50.896,0.75,2.155,0.004,9.511,0.277,15.247,20.015,0.39,,
MA tephra 5-3 ,Clinopyroxene,51.105,0.804,2.392,0.079,8.638,0.254,15.663,20.026,0.377,,
MA tephra 5-171 ,Clinopyroxene,51.2,0.793,2.233,0.038,8.878,0.29,15.619,20.029,0.382,,
MA tephra 5-147 ,Clinopyroxene,50.887,0.74,2.065,0.07,9.73,0.288,15.21,20.037,0.373,,
MA tephra 5-7 ,Clinopyroxene,50.919,0.846,2.338,0.125,8.748,0.287,15.313,20.042,0.38,,
MA tephra 5-37 ,Clinopyroxene,50.872,0.877,2.291,0.071,9.202,0.281,15.578,20.046,0.355,,
MA tephra 5-109 ,Clinopyroxene,51.325,0.706,2.038,0.003,9.334,0.255,15.316,20.055,0.341,,
MA tephra 5-6 ,Clinopyroxene,51.129,0.855,2.181,0.034,9.811,0.292,15.379,20.062,0.356,,
MA tephra 5-1 ,Clinopyroxene,50.921,0.9,2.29,0.012,8.801,0.253,15.679,20.071,0.336,,
MA tephra 5-33 ,Clinopyroxene,50.356,0.903,2.915,0.091,9.352,0.225,15.28,20.072,0.408,,
MA tephra 5-106 ,Clinopyroxene,51.546,0.717,1.966,0.011,9.413,0.322,15.433,20.092,0.377,,
MA tephra 5-74 ,Clinopyroxene,51.148,0.821,2.098,0.027,9.656,0.26,14.86,20.094,0.365,,
MA tephra 5-146 ,Clinopyroxene,50.801,0.763,2.184,0.022,9.641,0.283,14.884,20.095,0.386,,
MA tephra 5-84 ,Clinopyroxene,51.3,0.79,2.092,0.014,9.826,0.28,15.346,20.105,0.381,,
MA tephra 5-49 ,Clinopyroxene,49.425,0.869,3.122,0.149,9.947,0.284,13.766,20.109,0.416,,
MA tephra 5-193 ,Clinopyroxene,51.238,0.56,1.495,0.002,12.049,0.319,13.731,20.118,0.391,,
MA tephra 5-162 ,Clinopyroxene,50.102,0.8,3.073,0.203,10.352,0.251,14.278,20.135,0.456,,
MA tephra 5-29 ,Clinopyroxene,50.887,0.952,2.265,0.033,8.968,0.264,15.617,20.136,0.346,,
MA tephra 5-16 ,Clinopyroxene,50.745,0.953,2.727,0.028,9.794,0.245,14.898,20.137,0.416,,
MA tephra 5-102 ,Clinopyroxene,51.196,0.863,2.264,0.042,9.382,0.302,15.265,20.15,0.37,,
MA tephra 5-51 ,Clinopyroxene,51.466,0.782,2.097,0.025,9.382,0.254,15.327,20.151,0.402,,
MA tephra 5-151 ,Clinopyroxene,50.979,0.796,2.074,0.022,9.139,0.296,15.75,20.156,0.365,,
MA tephra 5-11 ,Clinopyroxene,51.024,0.883,2.245,0.023,10.653,0.343,14.491,20.17,0.363,,
MA tephra 5-194 ,Clinopyroxene,51.375,0.956,2.185,0.022,9.467,0.222,15.702,20.177,0.324,,
MA tephra 5-92 ,Clinopyroxene,51.013,0.851,2.223,0.017,9.079,0.225,14.998,20.181,0.348,,
MA tephra 5-220 ,Clinopyroxene,50.851,0.86,2.455,0.046,8.892,0.263,15.642,20.181,0.329,,
MA tephra 5-160 ,Clinopyroxene,50.931,0.814,2.175,0.045,9.22,0.281,15.374,20.224,0.357,,
MA tephra 5-180 ,Clinopyroxene,50.92,0.836,2.568,0.207,8.482,0.227,15.77,20.232,0.409,,
MA tephra 5-214 ,Clinopyroxene,50.591,0.932,2.72,0.008,9.213,0.219,15.367,20.259,0.392,,
MA tephra 5-217 ,Clinopyroxene,50.846,0.835,1.995,0.003,9.224,0.247,15.519,20.261,0.362,,
MA tephra 5-154 ,Clinopyroxene,51.157,0.863,2.358,0.106,8.633,0.278,15.524,20.266,0.348,,
MA tephra 5-13 ,Clinopyroxene,51.132,0.875,2.32,0.042,9.096,0.263,15.612,20.271,0.348,,
MA tephra 5-105 ,Clinopyroxene,51.188,0.779,2.241,0.025,9.228,0.289,15.432,20.275,0.355,,
MA tephra 5-55 ,Clinopyroxene,51.499,0.797,1.962,0.017,9.025,0.276,15.582,20.314,0.341,,
MA tephra 5-222 ,Clinopyroxene,51.626,0.351,1.265,0.008,11.27,0.288,14.176,20.317,0.368,,
MA tephra 5-201 ,Clinopyroxene,50.706,0.933,2.595,0.023,9.043,0.222,15.415,20.321,0.355,,
MA tephra 5-173 ,Clinopyroxene,50.97,0.759,2.183,0.001,9.101,0.258,15.553,20.392,0.335,,
MA tephra 5-100 ,Clinopyroxene,51.197,0.807,2.253,0.051,9.131,0.267,15.343,20.416,0.376,,
MA tephra 5-62 ,Clinopyroxene,50.421,0.932,3.139,0.049,8.767,0.214,15.157,20.484,0.37,,
MA tephra 5-118 ,Clinopyroxene,50.78,0.913,2.264,0.021,9.254,0.278,15.469,20.562,0.336,,
MA tephra 6-94 ,Clinopyroxene,50.983,0.863,2.006,0.037,11.625,0.256,14.639,17.788,0.368,,
MA tephra 6-74 ,Clinopyroxene,51.581,0.445,1.264,0.014,14.83,0.515,12.68,18.013,0.297,,
MA tephra 6-77 ,Clinopyroxene,51.213,0.637,1.599,0.001,12.719,0.377,14.234,18.19,0.366,,
MA tephra 6-18 ,Clinopyroxene,51.561,0.64,1.47,0,12.775,0.423,14.077,18.212,0.321,,
MA tephra 6-112 ,Clinopyroxene,51.262,0.395,1.06,0.001,14.538,0.483,12.647,18.245,0.29,,
MA tephra 6-22 ,Clinopyroxene,51.753,0.561,1.506,0.02,13.429,0.377,13.522,18.34,0.363,,
MA tephra 6-121 ,Clinopyroxene,51.371,0.875,2.191,0.03,11.379,0.309,14.734,18.452,0.428,,
MA tephra 6-55 ,Clinopyroxene,51.044,0.599,1.233,0,12.504,0.363,13.359,18.504,0.331,,
MA tephra 6-5 ,Clinopyroxene,51.357,0.676,2.235,0.009,11.797,0.281,14.315,18.548,0.368,,
MA tephra 6-12 ,Clinopyroxene,51.098,0.596,1.402,0.021,13.311,0.398,13.476,18.612,0.385,,
MA tephra 6-71 ,Clinopyroxene,51.589,0.436,1.296,0,11.596,0.338,14.158,18.671,0.385,,
MA tephra 6-78 ,Clinopyroxene,50.898,0.886,2.085,0.057,10.246,0.272,15.247,18.721,0.367,,
MA tephra 6-20 ,Clinopyroxene,51.677,0.396,0.97,0.027,14.777,0.533,12.434,18.733,0.279,,
MA tephra 6-73 ,Clinopyroxene,51.406,0.749,2.028,0.039,9.849,0.33,14.863,18.762,0.357,,
MA tephra 6-93 ,Clinopyroxene,51.508,0.808,2.153,0.055,9.695,0.31,15.496,18.833,0.315,,
MA tephra 6-39 ,Clinopyroxene,50.509,0.767,2,0.006,11.679,0.333,13.289,18.848,0.412,,
MA tephra 6-108 ,Clinopyroxene,51.184,0.645,1.571,0.01,11.484,0.364,13.001,18.865,0.4,,
MA tephra 6-46 ,Clinopyroxene,50.176,0.777,2.126,0.017,11.533,0.364,13.948,18.876,0.38,,
MA tephra 6-107 ,Clinopyroxene,51.245,0.692,1.747,0.018,10.094,0.302,14.343,18.931,0.361,,
MA tephra 6-69 ,Clinopyroxene,51.733,0.49,1.313,0.007,10.318,0.312,14.905,18.968,0.315,,
MA tephra 6-83 ,Clinopyroxene,51.123,0.553,1.638,0.031,12.356,0.396,13.647,19.025,0.357,,
MA tephra 6-37 ,Clinopyroxene,51.411,0.741,2.267,0.085,8.196,0.258,15.254,19.062,0.322,,
MA tephra 6-53 ,Clinopyroxene,50.817,0.761,1.972,0.039,9.635,0.276,14.824,19.069,0.344,,
MA tephra 6-119 ,Clinopyroxene,52.401,0.477,1.09,0.041,11.525,0.34,14.356,19.115,0.31,,
MA tephra 6-32 ,Clinopyroxene,51.861,0.617,1.42,0.076,12.515,0.383,13.422,19.121,0.365,,
MA tephra 6-113 ,Clinopyroxene,50.87,0.936,2.445,0.136,11.214,0.31,13.671,19.209,0.399,,
MA tephra 6-91 ,Clinopyroxene,51.477,0.736,1.799,0.027,10.199,0.309,14.862,19.21,0.353,,
MA tephra 6-36 ,Clinopyroxene,51.235,0.634,1.882,0.009,11,0.326,14.377,19.218,0.42,,
MA tephra 6-81 ,Clinopyroxene,50.318,0.808,3.157,0.107,9.302,0.232,14.788,19.256,0.397,,
MA tephra 6-59 ,Clinopyroxene,50.955,0.803,2.139,0.099,10.346,0.245,14.871,19.268,0.315,,
MA tephra 6-34 ,Clinopyroxene,51.645,0.774,1.764,0.023,10.296,0.274,15.12,19.307,0.373,,
MA tephra 6-19 ,Clinopyroxene,51.468,0.813,2.194,0.024,10.548,0.268,14.672,19.318,0.372,,
MA tephra 6-105 ,Clinopyroxene,51.296,0.693,1.957,0.013,9.93,0.299,15.185,19.335,0.332,,
MA tephra 6-27 ,Clinopyroxene,51.141,0.641,1.734,0.026,11.652,0.348,13.839,19.365,0.356,,
MA tephra 6-30 ,Clinopyroxene,51.588,0.825,2.088,0.053,9.777,0.298,15.15,19.37,0.34,,
MA tephra 6-49 ,Clinopyroxene,50.807,0.321,0.764,0,17.388,0.702,9.587,19.409,0.268,,
MA tephra 6-28 ,Clinopyroxene,51.29,0.738,1.813,0.007,9.381,0.296,14.918,19.423,0.341,,
MA tephra 6-38 ,Clinopyroxene,50.994,0.886,2.551,0.022,9.51,0.276,14.772,19.445,0.384,,
MA tephra 6-57 ,Clinopyroxene,51.327,0.775,1.902,0.019,9.663,0.288,15.037,19.46,0.355,,
MA tephra 6-3 ,Clinopyroxene,50.456,0.496,2.056,0.099,11.671,0.305,13.509,19.511,0.379,,
MA tephra 6-98 ,Clinopyroxene,51.113,0.739,2.578,0.221,9.29,0.246,15.024,19.521,0.362,,
MA tephra 6-44 ,Clinopyroxene,50.352,0.795,3.194,0.241,10.394,0.282,13.831,19.524,0.347,,
MA tephra 6-92 ,Clinopyroxene,50.771,0.781,2.167,0.008,9.797,0.282,15.044,19.529,0.339,,
MA tephra 6-118 ,Clinopyroxene,51.264,0.604,1.624,0.024,11.933,0.306,13.28,19.533,0.367,,
MA tephra 6-42 ,Clinopyroxene,50.841,0.996,2.386,0.113,9.425,0.253,15.002,19.544,0.329,,
MA tephra 6-13 ,Clinopyroxene,50.264,0.785,3.336,0.079,10.416,0.271,14.214,19.547,0.419,,
MA tephra 6-56 ,Clinopyroxene,50.31,0.893,2.644,0.003,10.679,0.288,13.93,19.622,0.381,,
MA tephra 6-103 ,Clinopyroxene,51.567,0.765,2.035,0.022,9.159,0.227,15.301,19.632,0.309,,
MA tephra 6-109 ,Clinopyroxene,51.395,0.836,2.639,0.215,8.759,0.201,15.256,19.67,0.399,,
MA tephra 6-6 ,Clinopyroxene,51.666,0.845,2.271,0.016,9.336,0.291,15.126,19.693,0.31,,
MA tephra 6-51 ,Clinopyroxene,50.973,0.819,2.115,0.049,9.56,0.249,14.865,19.694,0.324,,
MA tephra 6-4 ,Clinopyroxene,50.625,0.768,2.427,0.085,11.272,0.254,13.51,19.701,0.392,,
MA tephra 6-102 ,Clinopyroxene,51.237,0.851,2.038,0,9.904,0.258,14.79,19.722,0.368,,
MA tephra 6-64 ,Clinopyroxene,50.9,0.841,2.576,0.144,9.103,0.224,14.709,19.758,0.353,,
MA tephra 6-100 ,Clinopyroxene,50.597,0.812,2.438,0.058,10.947,0.286,13.728,19.758,0.39,,
MA tephra 6-40 ,Clinopyroxene,51.062,0.801,2.173,0.013,9.607,0.251,14.951,19.772,0.317,,
MA tephra 6-48 ,Clinopyroxene,51.224,0.756,2.343,0.027,8.828,0.212,15.281,19.787,0.362,,
MA tephra 6-87 ,Clinopyroxene,51.785,0.634,1.679,0.033,9.174,0.254,14.96,19.815,0.313,,
MA tephra 6-120 ,Clinopyroxene,51.501,0.521,1.636,0.004,11.637,0.352,13.376,19.818,0.371,,
MA tephra 6-82 ,Clinopyroxene,51.188,0.353,0.964,0.019,11.033,0.36,14.073,19.819,0.398,,
MA tephra 6-72 ,Clinopyroxene,50.056,0.951,3.106,0.253,9.56,0.253,14.375,19.826,0.383,,
MA tephra 6-70 ,Clinopyroxene,50.97,0.745,2.162,0.034,9.206,0.254,15.204,19.861,0.356,,
MA tephra 6-60 ,Clinopyroxene,50.882,0.807,2.262,0.006,9.161,0.268,15.236,19.862,0.307,,
MA tephra 6-45 ,Clinopyroxene,51.618,0.774,1.763,0.011,9.251,0.268,15.221,19.873,0.307,,
MA tephra 6-61 ,Clinopyroxene,50.539,0.799,2.788,0.161,8.888,0.215,15.023,19.912,0.322,,
MA tephra 6-84 ,Clinopyroxene,51.488,0.693,2.055,0.029,9.119,0.243,15.131,19.963,0.305,,
MA tephra 6-43 ,Clinopyroxene,51.464,0.785,2.201,0.015,9.161,0.256,15.074,20,0.316,,
MA tephra 6-7 ,Clinopyroxene,51.632,0.785,2.277,0.048,8.928,0.23,15.227,20.219,0.325,,
MA tephra 6-95 ,Clinopyroxene,51.427,0.82,2.181,0.041,9.023,0.234,15.306,20.281,0.335,,
MA tephra 6-97 ,Clinopyroxene,51.418,0.522,2.793,0.42,7.438,0.207,15.541,20.347,0.352,,
MA tephra 6-47 ,Clinopyroxene,50.689,0.821,2.91,0.262,8.179,0.2,15.17,20.44,0.318,,
MA-tephra 7-75 ,Clinopyroxene,51.761,0.746,1.875,0.033,10.508,0.249,17.815,16.9,0.267,,
MA-tephra 7-97 ,Clinopyroxene,51.296,0.602,1.521,0.008,13.536,0.42,14.125,17.42,0.361,,
MA-tephra 7-42 ,Clinopyroxene,52.415,0.677,2.864,0,11.008,0.333,12.899,18.259,0.355,,
MA-tephra 7-76 ,Clinopyroxene,50.602,0.744,2.078,0,13.022,0.4,13.528,19.1,0.4,,
MA-tephra 7-10 ,Clinopyroxene,51.615,0.497,1.365,0.032,13.264,0.335,13.708,19.214,0.393,,
MA-tephra 7-88 ,Clinopyroxene,51.744,0.635,1.672,0.011,10.995,0.323,15.572,19.224,0.339,,
MA-tephra 7-138 ,Clinopyroxene,51.472,0.559,1.273,0.008,12.394,0.361,14.087,19.353,0.391,,
MA-tephra 7-34 ,Clinopyroxene,50.858,0.676,1.477,0,12.633,0.375,13.702,19.43,0.391,,
MA-tephra 7-174 ,Clinopyroxene,50.566,0.919,2.621,0.153,9.132,0.274,15.785,19.448,0.264,,
MA-tephra 7-128 ,Clinopyroxene,50.954,0.691,1.889,0.011,13.47,0.507,13.097,19.473,0.346,,
MA-tephra 7-167 ,Clinopyroxene,51.43,0.431,1.298,0,12.954,0.427,13.418,19.483,0.371,,
MA-tephra 7-5 ,Clinopyroxene,51.37,0.635,1.572,0.002,12.318,0.355,13.74,19.508,0.382,,
MA-tephra 7-35 ,Clinopyroxene,51.361,0.571,1.555,0.008,12.439,0.403,13.589,19.557,0.413,,
MA-tephra 7-132 ,Clinopyroxene,51.505,0.521,1.301,0,12.757,0.439,13.768,19.608,0.376,,
MA-tephra 7-140 ,Clinopyroxene,51.402,0.451,1.337,0,12.236,0.401,13.904,19.614,0.342,,
MA-tephra 7-92 ,Clinopyroxene,51.516,0.654,1.465,0,11.226,0.356,14.269,19.659,0.371,,
MA-tephra 7-25 ,Clinopyroxene,50.583,1.099,3.011,0.201,10.27,0.291,14.88,19.662,0.39,,
MA-tephra 7-65 ,Clinopyroxene,51.736,0.617,1.425,0,11.53,0.311,14.736,19.685,0.343,,
MA-tephra 7-133 ,Clinopyroxene,51.327,0.604,1.317,0,12.053,0.375,14.194,19.687,0.337,,
MA-tephra 7-47 ,Clinopyroxene,51.631,0.627,1.451,0,11.703,0.392,14.09,19.695,0.346,,
MA-tephra 7-54 ,Clinopyroxene,50.012,0.892,2.725,0.031,12.357,0.368,13.566,19.757,0.497,,
MA-tephra 7-110 ,Clinopyroxene,51.587,0.604,1.575,0.012,11.842,0.381,14.14,19.758,0.358,,
MA-tephra 7-50 ,Clinopyroxene,51.463,0.483,1.375,0.015,12.573,0.412,13.933,19.771,0.355,,
MA-tephra 7-55 ,Clinopyroxene,50.412,0.564,1.562,0,12.408,0.39,13.952,19.78,0.369,,
MA-tephra 7-11 ,Clinopyroxene,51.442,0.482,1.487,0.025,11.956,0.383,14.117,19.781,0.35,,
MA-tephra 7-3 ,Clinopyroxene,50.37,1.013,3.352,0.023,9.725,0.267,14.985,19.791,0.436,,
MA-tephra 7-113 ,Clinopyroxene,51.087,0.801,1.768,0.031,10.761,0.347,14.49,19.829,0.309,,
MA-tephra 7-45 ,Clinopyroxene,51.387,0.839,2.205,0.032,10.224,0.286,14.877,19.841,0.38,,
MA-tephra 7-59 ,Clinopyroxene,51.976,0.47,2.592,0.335,6.713,0.22,17.325,19.908,0.297,,
MA-tephra 7-109 ,Clinopyroxene,51.671,0.457,1.322,0.019,12.184,0.361,13.882,19.934,0.38,,
MA-tephra 7-149 ,Clinopyroxene,51.787,0.447,1.097,0.015,11.641,0.386,14.333,20.021,0.356,,
MA-tephra 7-44 ,Clinopyroxene,51.704,0.576,1.609,0.033,11.737,0.368,14.164,20.045,0.383,,
MA-tephra 7-117 ,Clinopyroxene,50.849,0.597,1.704,0.002,10.33,0.285,15.201,20.072,0.336,,
MA-tephra 7-81 ,Clinopyroxene,50.607,0.806,2.072,0.025,11.87,0.37,13.736,20.079,0.399,,
MA-tephra 7-83 ,Clinopyroxene,51.283,0.551,1.508,0.046,10.369,0.316,14.735,20.127,0.349,,
MA-tephra 7-48 ,Clinopyroxene,50.891,0.644,1.661,0.051,10.886,0.339,14.688,20.236,0.349,,
MA-tephra 7-28 ,Clinopyroxene,48.745,1.235,4.047,0.337,11.382,0.316,12.875,20.243,0.492,,
MA-tephra 7-68 ,Clinopyroxene,51.418,0.629,1.985,0.09,10.353,0.281,14.994,20.274,0.36,,
MA-tephra 7-173 ,Clinopyroxene,51.524,0.703,2.164,0.026,10.742,0.321,14.816,20.363,0.333,,
MA-tephra 7-53 ,Clinopyroxene,51.012,0.793,2.328,0.036,9.203,0.245,15.628,20.373,0.369,,
MA-tephra 7-80 ,Clinopyroxene,51.567,0.675,1.601,0,8.808,0.297,15.356,20.431,0.277,,
MA-tephra 7-175 ,Clinopyroxene,50.708,0.642,1.954,0.013,9.638,0.278,14.909,20.503,0.305,,
MA-tephra 7-100 ,Clinopyroxene,50.087,0.757,2.809,0.112,10.727,0.353,13.951,20.519,0.431,,
MA-tephra 7-79 ,Clinopyroxene,50.795,0.864,2.558,0.08,9.369,0.224,15.48,20.546,0.367,,
MA-tephra 7-115 ,Clinopyroxene,51.238,0.768,2.4,0.09,8.609,0.263,15.966,20.571,0.291,,
MA-tephra 7-142 ,Clinopyroxene,50.997,0.967,2.619,0.106,8.925,0.211,15.67,20.615,0.293,,
