Sample_ID_Cpx,Mineral,SiO2,TiO2,Al2O3,Cr2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,Total
1 cpx5-2,Clinopyroxene,51.09,0.73,4.04,0.04,6.381704,0.19,15.5,21,0.42,,99.54
1 cpx5-5,Clinopyroxene,51.96,0.87,1.53,0,11.130822,0.33,15.57,17.73,0.39,,99.6
1 cpx6-3,Clinopyroxene,52.07,0.43,3.68,0.67,4.541884,0.14,17.09,20.74,0.31,,99.74
 1 cpx10-1,Clinopyroxene,50.75,0.8,4.79,0.25,5.221664,0.07,15.7,21.9,0.34,,99.99
1 cpx13,Clinopyroxene,51.47,0.92,1.48,0,11.352646,0.4,15.2,18.09,0.42,,99.5
1 cpx18-2b ,Clinopyroxene,51.54,0.65,3.42,0.02,6.738738,0.1,15.64,21.03,0.38,,99.65
2_2_1 ,Clinopyroxene,51.8,0.5323,2.9721,0.021,6.75,0.192,16.37,21.3,0.3021,,100.24
2_2_2 ,Clinopyroxene,51.42,0.4372,3.73,1.0388,4.27,0.1119,17.11,22.04,0.2955,,100.45
2_2_3 ,Clinopyroxene,52.75,0.5044,2.6232,0.2003,5.69,0.1599,16.89,21.99,0.2383,,101.05
2_3_1 ,Clinopyroxene,53.2,0.2862,1.9768,0.1554,4.22,0.1079,18.32,22.2,0.1581,,100.62
2_3_2 ,Clinopyroxene,53.8,0.211,1.6013,0.6059,3.42,0.1347,18.49,22.6,0.1981,,101.06
2_3_3 ,Clinopyroxene,52.75,0.3439,2.5124,0.6484,4.14,0.1162,17.74,22.55,0.2153,,101.02
3_2_1 ,Clinopyroxene,51.49,0.7838,2.1593,0.0371,9.13,0.3397,15.64,19.43,0.3466,,99.36
3_2_2 ,Clinopyroxene,51.07,0.7691,2.6536,0.3214,7.28,0.2467,15.94,20.45,0.363,,99.09
3_2_5 ,Clinopyroxene,51.57,0.9632,2.846,0.1756,8.06,0.2336,15.72,20.38,0.3769,,100.32
